YearsExperience,Age,Salary,City,Designation,Height
1.1,21,39343,Chennai,tester,5.1
1.3,21.5,46205,Chennai,tester,5.2
1.5,21.7,37731,Chennai,tester,5.3
2,22,43525,Chennai,tester,5.4
2.2,22.2,39891,Chennai,tester,5.5
2.9,23,56642,Hyderabad,Developer,5.6
3,23,60150,Hyderabad,Developer,5.7
3.2,23.3,54445,Hyderabad,Developer,5.8
3.2,23.3,64445,Hyderabad,Developer,5.9
3.7,23.6,57189,Hyderabad,Developer,4.9
3.9,23.9,63218,Hyderabad,Developer,4.10
4,24,55794,Hyderabad,Developer,5.0
4,24,56957,Hyderabad,Developer,5.1
4.1,24,57081,Hyderabad,Developer,5.1
4.5,25,61111,Hyderabad,Developer,5.1
4.9,25,67938,Hyderabad,Developer,5.1
5.1,26,66029,Hyderabad,Developer,5.2
5.3,27,83088,Hyderabad,Developer,5.2
5.9,28,81363,Hyderabad,Developer,5.2
6,29,93940,Bangalore,Developer,5.3
6.8,30,91738,Bangalore,Developer,5.3
7.1,30,98273,Bangalore,Developer,5.3
7.9,31,101302,Bangalore,Architect,5.4
8.2,32,113812,Bangalore,Architect,5.4
8.7,33,109431,Bangalore,Architect,4.9
9,34,105582,Bangalore,Architect,4.9
9.5,35,116969,Bangalore,Architect,5.5
9.6,36,112635,Bangalore,Architect,5.8
10.3,37,122391,Bangalore,Architect,5.10
10.5,38,121872,Bangalore,Architect,6.1
